 Hazardlabel1,Hazardlabel2,ADRValue
1,1,9
1.4,1,9
1.5,1,9
1.6,1,9
2.1,1,0
2.2,1,0
2.3,1,0
3,1,0
4.1,1,0
4.1+1,1,0
4.2,1,0
4.3,1,0
5.1,1,5
5.2,1,0
5.2+1,1,0
6.1,1,0
6.2,1,0
7A,1,0
7B,1,0
7C,1,0
8,1,0
9,1,0
1,1.4,9
1.4,1.4,9
1.5,1.4,9
1.6,1.4,9
2.1,1.4,2
2.2,1.4,2
2.3,1.4,2
3,1.4,2
4.1,1.4,2
4.1+1,1.4,0
4.2,1.4,2
4.3,1.4,2
5.1,1.4,2
5.2,1.4,2
5.2+1,1.4,0
6.1,1.4,2
6.2,1.4,2
7A,1.4,2
7B,1.4,2
7C,1.4,2
8,1.4,2
9,1.4,0
1,1.5,9
1.4,1.5,9
1.5,1.5,9
1.6,1.5,9
2.1,1.5,0
2.2,1.5,0
2.3,1.5,0
3,1.5,0
4.1,1.5,0
4.1+1,1.5,0
4.2,1.5,0
4.3,1.5,0
5.1,1.5,0
5.2,1.5,0
5.2+1,1.5,0
6.1,1.5,0
6.2,1.5,0
7A,1.5,0
7B,1.5,0
7C,1.5,0
8,1.5,0
9,1.5,0
1,1.6,9
1.4,1.6,9
1.5,1.6,9
1.6,1.6,9
2.1,1.6,0
2.2,1.6,0
2.3,1.6,0
3,1.6,0
4.1,1.6,0
4.1+1,1.6,0
4.2,1.6,0
4.3,1.6,0
5.1,1.6,0
5.2,1.6,0
5.2+1,1.6,0
6.1,1.6,0
6.2,1.6,0
7A,1.6,0
7B,1.6,0
7C,1.6,0
8,1.6,0
9,1.6,0
1,2.1,0
1.4,2.1,2
1.5,2.1,1
1.6,2.1,1
2.1,2.1,1
2.2,2.1,1
2.3,2.1,1
3,2.1,1
4.1,2.1,1
4.1+1,2.1,0
4.2,2.1,1
4.3,2.1,1
5.1,2.1,1
5.2,2.1,1
5.2+1,2.1,0
6.1,2.1,1
6.2,2.1,1
7A,2.1,1
7B,2.1,1
7C,2.1,1
8,2.1,1
9,2.1,1
1,2.2,0
1.4,2.2,2
1.5,2.2,1
1.6,2.2,1
2.1,2.2,1
2.2,2.2,1
2.3,2.2,1
3,2.2,1
4.1,2.2,1
4.1+1,2.2,0
4.2,2.2,1
4.3,2.2,1
5.1,2.2,1
5.2,2.2,1
5.2+1,2.2,0
6.1,2.2,1
6.2,2.2,1
7A,2.2,1
7B,2.2,1
7C,2.2,1
8,2.2,1
9,2.2,1
1,2.3,0
1.4,2.3,2
1.5,2.3,1
1.6,2.3,1
2.1,2.3,1
2.2,2.3,1
2.3,2.3,1
3,2.3,1
4.1,2.3,1
4.1+1,2.3,0
4.2,2.3,1
4.3,2.3,1
5.1,2.3,1
5.2,2.3,1
5.2+1,2.3,0
6.1,2.3,1
6.2,2.3,1
7A,2.3,1
7B,2.3,1
7C,2.3,1
8,2.3,1
9,2.3,1
1,3,0
1.4,3,2
1.5,3,1
1.6,3,1
2.1,3,1
2.2,3,1
2.3,3,1
3,3,1
4.1,3,1
4.1+1,3,0
4.2,3,1
4.3,3,1
5.1,3,1
5.2,3,1
5.2+1,3,0
6.1,3,1
6.2,3,1
7A,3,1
7B,3,1
7C,3,1
8,3,1
9,3,1
1,4.1,0
